book_id,book_name,total_quantity,available_quantity,book_num,book_edition,author_name,publication,faculty,semester,picture,description
1,Data Mining,12,0,9786233121118,1th,Abraham Silberschatz,Oxford,Bsc.Csit,8,data_mining.jpg,Data Mining by Abraham Silberschatz for semester 8 of Bsc.Csit faculty.
2,Object Oriented Programming,8,8,9783631420167,3th,E. Balagurusamy,Schaum's Outlines,BCA,2,object_oriented_programming.jpg,Object Oriented Programming by E. Balagurusamy for semester 2 of BCA faculty.
3,Project Management,10,7,9785386505125,4th,Kenneth Laudon,Wiley,BIM,2,project_management.jpg,Project Management by Kenneth Laudon for semester 2 of BIM faculty.
4,Project Management,10,5,9781302591112,3th,David A. Patterson,Oxford,BIM,1,project_management.jpg,Project Management by David A. Patterson for semester 1 of BIM faculty.
5,Operating System Concepts,20,10,9789840472409,3th,E. Balagurusamy,Oxford,BIM,5,operating_system_concepts.jpg,Operating System Concepts by E. Balagurusamy for semester 5 of BIM faculty.
6,Object Oriented Programming,9,2,9782236952826,5th,Seymour Lipschutz,Oxford,BCA,5,object_oriented_programming.jpg,Object Oriented Programming by Seymour Lipschutz for semester 5 of BCA faculty.
7,Computer Architecture,11,3,9782840292216,2th,Stephen P. Robbins,Cambridge,BIM,2,computer_architecture.jpg,Computer Architecture by Stephen P. Robbins for semester 2 of BIM faculty.
8,Mobile Application Development,9,5,9786093462704,3th,Stuart Russell,Pearson,Bsc.Csit,4,mobile_application_development.jpg,Mobile Application Development by Stuart Russell for semester 4 of Bsc.Csit faculty.
9,System Analysis and Design,12,5,9781450995121,3th,Korth & Sudarshan,McGraw-Hill,Bsc.Csit,2,system_analysis_and_design.jpg,System Analysis and Design by Korth & Sudarshan for semester 2 of Bsc.Csit faculty.
10,Computer Architecture,8,6,9782738915825,2th,Korth & Sudarshan,Schaum's Outlines,Bsc.Csit,1,computer_architecture.jpg,Computer Architecture by Korth & Sudarshan for semester 1 of Bsc.Csit faculty.
11,Data Structures & Algorithms,13,8,9784811202864,2th,E. Balagurusamy,Schaum's Outlines,Bsc.Csit,7,data_structures_&_algorithms.jpg,Data Structures & Algorithms by E. Balagurusamy for semester 7 of Bsc.Csit faculty.
12,Financial Accounting,6,1,9782853101041,5th,Kenneth Laudon,Oxford,Bsc.Csit,2,financial_accounting.jpg,Financial Accounting by Kenneth Laudon for semester 2 of Bsc.Csit faculty.
